Name,Similarity,Genres,Sypnopsis,Episodes,Japanese name,Studios,Premiered,Score,Type,Source,Rating
Someday's Dreamers,0.73763275,"Slice of Life, Drama, Magic, Shounen","Yume Kikuchi, a girl who can use magic, goes to Tokyo to be an apprentice mage to the handsome Masami Oyamada (a professional mage). In Tokyo, Yume learns about magic, helping people, and various other things on her way to being a mage. But she soon also finds out that even just magic alone isn't enough to make someone truly happy... (Source: ANN)",12,魔法遣いに大切なこと,J.C.Staff,Winter 2003,6.75,TV,Manga,PG-13 - Teens 13 or older
Blue Seed,0.7350756,"Action, Adventure, Comedy, Demons, Drama, Ecchi, Horror, Mystery, Romance, Sci-Fi","omiji is an average girl until the day she finds she is the descendant of the great Kushinada family. Only she, with her Kushinada blood, can stop the Aragami, demonic plant-like monsters threatening to destroy Japan. Along to help her is the TAC, and a possible love interest in a young man named Kusanagi. (Source: ANN)",26,ブルーシード,"Production I.G, Production Reed",Fall 1994,7.03,TV,Manga,PG-13 - Teens 13 or older
Record of Lodoss War:Chronicles of the Heroic Knight,0.72123975,"Action, Adventure, Drama, Magic, Romance, Fantasy","Five years after the death of the Emperor of Marmo in the War of Heroes, Parn is now the Free Knight of Lodoss, he and his old allies now famous through the land. However, the Emperor's right-hand man, Ashram, seeks the scepter of domination to re-unify Lodoss under his former leader's banner. Meanwhile, beyond his attempts at conquest lies a more sinister force beginning to set the stage for the resurrection of the goddess of death and destruction... (Source: ANN)",27,ロードス島戦記　英雄騎士伝,AIC,Spring 1998,7.16,TV,Novel,PG-13 - Teens 13 or older
Stellvia,0.71637315,"Action, Mecha, Romance, Sci-Fi, Space","The year is 2356 A.D. - 189 years after a distant supernova caused a global catastrophe that wiped out 99% of the world population. To keep track on all space activities, mankind has built colossal space stations called ""foundations"" all over the Solar System. After passing the Space Academy entrance exams, Shima Katase embarks to the Earth-based foundation Stellvia to fulfill her dream of seeing the galaxy and to prevent another interstellar catastrophe from destroying Earth. (Source: ANN)",26,宇宙のステルヴィア,Xebec,Spring 2003,7.38,TV,Original,PG-13 - Teens 13 or older
Betterman,0.7157357,"Action, Adventure, Psychological, Comedy, Mecha, Drama, Horror, Mystery, Sci-Fi","deadly virus known as ""Algernon"" has attacked humanity with vicious meaning. At the forefront of the battle is the mystifying Akamatsu Industries—disguised as a heavy machine factory in Tokyo, this undercover organization uses neural enhanced weapons known as NeuroNoids to battle Algernon. Also helping with their secret efforts is the mysterious mutant who is only known as ""Betterman."" (Source: ANN)",26,ベターマン,Sunrise,Spring 1999,6.6,TV,Original,R - 17+ (violence & profanity)
Maze:The Mega-Burst Space,0.70552087,"Adventure, Comedy, Fantasy, Mecha, Shounen","aze wakes up in her house, everything is a wreck and she has amnesia. Before she can gather what has happened the girl Mill storms into her house thanking her for having saved her life. She tells Maze that her house suddenly fell down from the sky and crushed Mills pursuers under it. However before long they are both on the run from further pursuers who want their hands on princess Mill. They are only saved when Maze discovers that she has phantom light magical powers and can summon Mills family heirloom mecha. However her performance with the mecha is weak; that is until the sun goes down and she is turned in to a lecherous man. Soon other travellers join them as Maze tries to protect Mill and figure out what she is doing in this fantasy world. (Source: ANN)",25,MAZE☆爆熱時空,J.C.Staff,Spring 1997,6.65,TV,Manga,PG-13 - Teens 13 or older
Soreyuke! Uchuu Senkan Yamamoto Yohko (1999),0.698656,"Action, Sci-Fi, Adventure","In the year 2999: humanity is split into two factions, Terra and Ness, in a war fought by starships. One of the foremost of the pilots is the cocky teenager Yamamoto Yohko, and during one of her missions, she and her crew are sucked into a temporal anomaly (a la Star Trek) that sends her back to our time. Amnesiac, she only thinks of herself as a typical high school student - until a course of events sends her back to her ship the TA-29, with her newfound friends fighting at her side in a war that looks suspiciously like an arcade game (complete with 100 yen ignition costs!). (Source: AniDB)",26,それゆけ!宇宙戦艦　ヤマモト・ヨーコ,J.C.Staff,Spring 1999,6.6,TV,Novel,PG-13 - Teens 13 or older
Galaxy Angel,0.69582266,"Comedy, Sci-Fi","The Angel Brigade, an elite branch of the Transbaal Empire military, are assigned to search for The Lost Technology, mysterious items from the past that hold unknown powers. Led by the soon to retire Colonel Volcott O' Huey, the Angel Brigade travel to different planets using their specially designed Emblem Frame ships to search for Lost Technology. Unfortunately, they usually mess up somehow and end up getting into all kinds of weird and troublesome situations. (Source: ANN)",24,ギャラクシーエンジェル,Madhouse,Spring 2001,7.03,TV,Game,PG-13 - Teens 13 or older
Zettai Shounen,0.689258,"Sci-Fi, Mystery, Drama, Fantasy, Shounen","Oftentimes, people are most vulnerable when they are lonely and unable to get along with those around them. Isolation is felt more keenly amongst a crowd, so some will try to find solace in the strangest of places, where the unknown lurks. Such people include Ayumu Aizawa, a former city boy now living in the countryside of Tana, and Kisa Tanigawa, a young girl who has a hard time relating to others. What these two share in common is a feeling that their life has gone astray. Zettai Shounen tells a story of strange phenomena affecting two different settings, with no explanations of their origin or sudden appearance. All that is known is that these phenomena seem to center on individuals with mixed emotions toward themselves and others.",26,絶対少年,Ajia-Do,Spring 2005,6.94,TV,Original,PG-13 - Teens 13 or older
You're Under Arrest (1996),0.6855314,"Action, Comedy, Police, Seinen","Tokyo Highway Patrolwomen Natsumi and Miyuki get off to a bad start when Miyuki busts Natsumi for reckless moped driving on her way to work. Things get worse when they find out they're going to be partners! A continuation of the OVA series, the adventures of Tokyo policewomen Natsumi and Miyuki continue in the You're Under Arrest TV series. It's back to Bokuto Precinct, where demented felons and bashful (but hunky) policemen abound, and where the cutest girl in the office... isn't a girl. (Source: Rightstuf)",47,逮捕しちゃうぞ (1996),Studio Deen,Fall 1996,7.54,TV,Manga,PG-13 - Teens 13 or older
