similar_users,similarity,favorite_animes
272035,0.41975713,"'Fairy Tail', ""Yu☆Gi☆Oh! 5D's"""
53898,0.4179588,"'Fullmetal Alchemist: Brotherhood', 'Death Note'"
251984,0.37711716,"'Kotonoha no Niwa', 'Koe no Katachi'"
252466,0.37664744,"'Bleach', 'Pokemon'"
217363,0.37522507,"'Bleach', 'Naruto'"
324652,0.37431782,"'Rurouni Kenshin: Meiji Kenkaku Romantan', 'Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen'"
21030,0.37127694,"'InuYasha', 'Fushigi Yuugi'"
321221,0.37112665,"'Dragon Ball Z', 'Gintama'"
252794,0.3709774,"'Dragon Ball Z', 'Pokemon'"
136319,0.36832687,"'Aggressive Retsuko', 'Monster'"
