,loss,mse,val_loss,val_mse,lr
0,1.585262417793274,0.19394969940185547,1.3260315656661987,0.18930426239967346,1e-05
1,1.0809184312820435,0.17007552087306976,0.8635295629501343,0.13341745734214783,1.8e-05
2,0.6897339224815369,0.10341144353151321,0.5916472673416138,0.09024493396282196,2.6e-05
3,0.5475361943244934,0.0803309753537178,0.5276117324829102,0.07685573399066925,3.4e-05
4,0.5083132982254028,0.06990916281938553,0.5115810036659241,0.07219204306602478,4.2e-05
5,0.49649640917778015,0.06586510688066483,0.5096932649612427,0.07122448086738586,5e-05
6,0.4859136939048767,0.061976656317710876,0.5100878477096558,0.07137644290924072,4.2e-05
7,0.47769060730934143,0.059241294860839844,0.5068192481994629,0.07034991681575775,3.56e-05
8,0.47114428877830505,0.05720381438732147,0.5070282220840454,0.07089060544967651,3.048e-05
9,0.4656677544116974,0.055577609688043594,0.506341278553009,0.07095859944820404,2.6384e-05
10,0.4610055685043335,0.054231300950050354,0.5065017938613892,0.07132790237665176,2.31072e-05
11,0.4570463001728058,0.05311557650566101,0.5051791071891785,0.07099004089832306,2.048576e-05
12,0.45367535948753357,0.052180103957653046,0.5062996745109558,0.07172039151191711,1.8388608e-05
13,0.4508040249347687,0.05139762535691261,0.5065291523933411,0.07182373106479645,1.6710886e-05
14,0.44836869835853577,0.050743840634822845,0.506504237651825,0.07199753820896149,1.5368709e-05
