Name,Similarity,Genre,Sypnopsis,Episodes,Japanese name,Studios,Premiered,Score
Our Home's Fox Deity,0.8244618,"Adventure, Fantasy, Shounen, Supernatural","The Mizuchi bloodline has long been hunted by Yokai, or monsters. Toru and Noboru Takagami are descendents of this bloodline, and under their grandmother's discretion, are given a secret weapon to combat these monsters. It is Tenko Kugen, a fox deity who can take the shape of a man or woman at will. The mischievous deity is accompanied by a shrine maiden, Ko, who will both live with the Takagami brothers at their house. Life just got complicated. (Source: NIS America)",24,我が家のお稲荷さま。,Zexcs,Spring 2008,7.22
Polyphonica,0.8166005,"Drama, Fantasy, Music, Romance, School","Phoron Tatara's no ordinary musician. As one of the rare Dantists who can summon elder spirits using music called Commandia, his gift is so strong that his spirit partner is none other than the infamous Corticarte Apa Lagranges. Sure, she may look like a young girl in her human form, but you don't get nicknames like ""The Crimson Annihilator"" and ""The Bloody Duchess"" for sitting back and watching the daisies grow. Now, at the behest of the Tsuge Divine Music Player Office, this dynamic duet travels the continent of Polyphonica on Phoron's combination motorcycle/organ, following the song of the open road, orchestrating rescues and generally fixing whatever's baroque! Some musicians wait for a muse to hit them, but Phoron makes his work for scale! (Source: RightStuf)",12,神曲奏界ポリフォニカ,Ginga Ya,Spring 2007,6.84
Night Wizard,0.79359955,"Adventure, Fantasy, Magic, Shounen","Night Wizard. A term given to those whose mission is to protect the world from impending darkness. Renji Hiiragi is one such Night Wizard, who is constantly called on missions, even though all he wants is to be able to go to school and graduate. However, his latest order was to protect Elis Shiho, who is a new transfer student at his academy. Being dragged into the Astronomy Club by Renji's childhood friend, Kureha Akabane on her first day at school, Elis soon realises that she too, has the power to become a night wizard, after possessing one of seven secret Jewels, the Jewel of Kindness. Along with Renji and Kureha, Elis now begins her fight and her new life, as a Night Wizard (Source: ANN)",13,ナイトウィザード,Hal Film Maker,Fall 2007,6.69
Shonen Onmyoji,0.7766024,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo","asahiro is the grandson of the great onmyouji, Abe no Seimei. However, he lost his sixth sense that enables him to see supernatural beings, which is very important for an onmyouji. Thus, he is left with no choice but to try and pick a different career. But one day, a strange mononoke appears, which he names Mokkun, who shows him his true potential powers after fighting a demon. With the assistance of Mokkun, his quest to become the greatest onmyouji begins.",26,少年陰陽師,Studio Deen,Fall 2006,7.59
Psychic Squad,0.75207597,"Action, Comedy, Supernatural, Shounen","They're cute, adorable and three of the most powerful Espers the world has ever seen: Kaoru, the brash psychokinetic who can move objects with her mind; Shiho, the sarcastic and dark natured psychometric able to pick thoughts from people's minds and read the pasts of inanimate objects like a book; and Aoi, the most collected and rational of the three, who has the ability to teleport herself and the others at will. So what to do with these potential psychic monsters in the making? Enter B.A.B.E.L., the Base of Backing ESP Laboratory, where hopefully ""The Children"" and others like them can become part of the answer to an increasing wave of psychic evolution. It's a win-win solution... Unless you're Koichi Minamoto, the overworked young man stuck with the unenviable task of field commanding a team of three pre-teen girls! (Source: Sentai Filmworks)",51,絶対可憐チルドレン,SynergySP,Spring 2008,7.34
The Girl Who Leapt Through Space,0.7517947,"Adventure, Comedy, Sci-Fi, Space","The story is set in the year 311 of the Orbital Calendar, when humanity has migrated to countless colony clusters in space. A space colony girl named Akiha Shishidou encounters a malevolent artificial intelligence named Leopard that has been installed on a colony. Akiha is joined by an Inter-Colony Police officer named Itsuki Kannagi, a taciturn young girl named Honoka Kawai, and a robot named Imoko ""Imo-chan"" Shishidou. (Source: AniDB)",26,宇宙をかける少女,Sunrise,Winter 2009,7.01
Tears to Tiara,0.75123554,"Action, Adventure, Fantasy, Magic","s the Holy Empire rises to power, the neighboring lands begin to gradually fall under its control. The Empire's conquest eventually reaches the small island of Erin, home to the Gael tribe. There, a priestess named Riannon is kidnapped to be offered as a living sacrifice to the demon king Arawn, a malevolent being rumored to have caused untold destruction in the past. Riannon's brother, First Warrior Arthur, rescues her, when Arawn suddenly materializes before them as a handsome grey-haired man. Hiding his true identity and remaining enigmatic, Arawn pledges his power and leadership to the tribe's cause and joins Arthur, Riannon, and their merry band of friends—including a talented swordsman, an agile hunter, and a group of ecstatic pixies—as they fight back against the Empire, while uncovering the dark secrets of the land along the way.",26,ティアーズ・トゥ・ティアラ,White Fox,Spring 2009,7.2
Soul Link,0.74815106,"Action, Adventure, Space, Comedy, Romance, Military, Sci-Fi","zawa Ryota was in the 3rd grade of the preparatory course of Central Military Academy. AD 2045, he went to a space station, Aries, for the training with his classmates including Nagase Saka and Nittak Kazuhiko. However, the station was attacked by a terrorist group, Hallarax.Now they must find a way back to earth. (Source: ANN)",12,Soul Link,Picture Magic,Spring 2006,6.13
Himawari!,0.7465553,"Adventure, Comedy, Martial Arts","Himawari Hinata recently transfered to Shinobi Gakuen to train to become the best kunoichi she can be. She wanted to be a ninja ever since she was saved by one when she was little. On her first day, she meets Hayato Madenokoji (a new transfer teacher) who saves her life. Hayato does not possess any ninja skills or traits, he is teaching the ninjas about normal society to pay off his debt. However, Himawari notices that Hayato bares the same mark on his neck as the ninja who saved her when she was young. (Source: ANN)",13,ひまわりっ!,Arms,Spring 2006,6.34
Prism Ark,0.73969686,"Action, Fantasy, Magic, Comedy, Drama","The Sablum Empire has been attempting to take over the kingdom of Windland for many years, and are now plotting with the mercenaries Sister Hell and Darkness Knight to start a new offensive using powerful magical beings called Angels. Hyaweh, a carefree yet talented swordsman, and Priecia, who just might be the lost princess of Windland, are enrolled at the Knight's Academy in Windland to hone their skill at swords and sorcery. There they meet many friends and allies who can help them protect their homeland from the impending invasion.",12,プリズム・アーク,Front Line,Fall 2007,6.45
